                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9711,                 1.4098,                 1.2469,                0.71526,                0.63393,                0.69745,                0.38214,                 1.5965,                 1.0878,                 1.1486,             0.00055222,             0.00055222,             0.00055222
                      2,                 1.8999,                 1.3031,                 1.2108,                0.64809,                0.53393,                0.60625,                0.30237,                 1.8036,                 1.2881,                 1.2199,              0.0010859,              0.0010859,              0.0010859
                      3,                 1.9458,                 1.3454,                 1.2144,                0.67592,                0.58715,                0.65205,                0.33992,                  1.709,                 1.1663,                 1.2013,              0.0015977,              0.0015977,              0.0015977
                      4,                  1.944,                 1.3605,                 1.2226,                 0.5601,                0.56323,                0.59698,                0.30853,                 1.7466,                 1.3926,                 1.2098,               0.001568,               0.001568,               0.001568
                      5,                 1.9119,                 1.3684,                 1.2225,                0.68419,                0.62931,                0.66732,                0.34978,                 1.6986,                 1.1499,                 1.1877,               0.001568,               0.001568,               0.001568
                      6,                 1.8721,                 1.3101,                 1.2108,                0.71624,                0.61437,                0.67288,                0.35158,                 1.6835,                 1.1479,                  1.193,               0.001535,               0.001535,               0.001535
                      7,                 1.8677,                 1.3058,                 1.2105,                0.71221,                0.55822,                0.65175,                0.33364,                 1.6679,                 1.1899,                 1.1843,               0.001502,               0.001502,               0.001502
                      8,                 1.8685,                 1.3086,                 1.1979,                0.69934,                0.61256,                0.66896,                 0.3561,                  1.649,                 1.1424,                 1.1725,               0.001469,               0.001469,               0.001469
                      9,                 1.8445,                 1.3008,                 1.1979,                0.62251,                  0.615,                0.64325,                0.33413,                 1.6762,                 1.2119,                 1.1728,               0.001436,               0.001436,               0.001436
                     10,                 1.8543,                  1.288,                 1.1977,                0.69885,                0.63491,                0.68306,                0.36436,                 1.6413,                 1.1519,                 1.1596,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.8353,                 1.3031,                 1.1911,                0.68134,                0.61515,                0.68564,                0.37508,                 1.5907,                 1.1652,                 1.1539,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.8261,                 1.2746,                 1.1874,                0.70486,                0.64431,                0.69956,                0.37365,                 1.6159,                 1.1053,                 1.1517,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.7981,                 1.2619,                 1.1829,                0.71422,                 0.6161,                0.69554,                0.35453,                 1.6748,                 1.1351,                 1.1723,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.8048,                 1.2933,                 1.1832,                0.74539,                0.65541,                 0.7257,                0.37975,                 1.6325,                 1.0747,                 1.1658,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.7778,                 1.2666,                 1.1794,                 0.7011,                0.66921,                0.72638,                0.38849,                 1.5912,                 1.0933,                  1.147,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.7577,                 1.2417,                 1.1766,                0.71683,                0.64743,                0.73203,                0.39039,                 1.5861,                 1.1044,                 1.1438,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.7653,                 1.2596,                 1.1835,                0.71466,                0.65973,                0.72078,                 0.3796,                 1.6428,                   1.08,                 1.1705,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.7572,                 1.2491,                  1.168,                0.73435,                0.69008,                0.74473,                0.41132,                 1.5891,                 1.0146,                 1.1496,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.7433,                 1.2455,                 1.1729,                0.73423,                0.68192,                0.74788,                 0.4063,                 1.6002,                 1.0392,                 1.1531,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.7365,                 1.2384,                  1.165,                 0.7409,                0.66568,                0.74598,                0.40192,                 1.5995,                  1.035,                 1.1512,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.7635,                 1.2301,                 1.1665,                0.73255,                0.68293,                0.74078,                0.40315,                 1.5735,                 1.0487,                 1.1399,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.7342,                  1.221,                 1.1613,                0.70852,                0.68018,                0.74147,                0.39861,                 1.5971,                  1.045,                 1.1425,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.7202,                  1.218,                 1.1616,                0.75056,                0.65894,                0.74834,                0.40419,                 1.5829,                 1.0592,                 1.1374,             0.00097386,             0.00097386,             0.00097386
