                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3006,                 3.3714,                  3.529,                0.00577,                0.11825,                0.00649,                0.00155,                 6.2847,                 4.1209,                 3.5822,             0.00054881,             0.00054881,             0.00054881
                      2,                 3.3519,                 2.0949,                 2.1147,                0.07935,                0.20844,                0.05223,                0.01343,                 3.3693,                 2.4741,                 2.0747,              0.0010899,              0.0010899,              0.0010899
                      3,                 3.0353,                  1.975,                 1.9277,                0.57958,                0.12372,                0.07113,                0.01827,                 3.0653,                 3.1879,                 1.9105,              0.0016163,              0.0016163,              0.0016163
                      4,                 2.8162,                 1.8992,                 1.7788,                0.07781,                0.37084,                0.07127,                0.02097,                 2.7717,                 2.8919,                 1.7619,               0.001601,               0.001601,               0.001601
                      5,                 2.6429,                 1.8373,                 1.6736,                0.11179,                0.33917,                0.08538,                0.02624,                 2.7948,                 2.4257,                 1.7134,               0.001601,               0.001601,               0.001601
                      6,                 2.5398,                 1.7846,                 1.6123,                0.18087,                0.23436,                0.12573,                0.04529,                 2.6334,                 2.1863,                 1.6665,               0.001579,               0.001579,               0.001579
                      7,                 2.3741,                 1.7196,                 1.5377,                0.31306,                0.34407,                0.23587,                0.08674,                 2.4078,                 1.8398,                 1.5257,               0.001557,               0.001557,               0.001557
                      8,                 2.2879,                 1.6646,                   1.48,                  0.314,                0.39952,                0.27555,                 0.1048,                 2.3635,                 1.8633,                 1.5071,               0.001535,               0.001535,               0.001535
                      9,                 2.2174,                 1.6198,                 1.4583,                0.22679,                0.38997,                0.19962,                0.07548,                 2.3094,                 2.0026,                 1.4903,               0.001513,               0.001513,               0.001513
                     10,                 2.1604,                 1.5928,                 1.4179,                0.29558,                0.31621,                0.23826,                0.08069,                 2.4051,                 1.8752,                 1.4798,               0.001491,               0.001491,               0.001491
